 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 06/06/2012   23:25:23
 ---------------------------------------------------------------------------------------------------------------------------------- 

23:25:23  |  General  |  Info  |  * Initialise: Gui  |  .\src\MyGUI_Gui.cpp  |  54
23:25:23  |  General  |  Info  |  * MyGUI version 2.2.2  |  .\src\MyGUI_Gui.cpp  |  58
23:25:23  |  General  |  Info  |  Viewport : 800 600  |  .\src\MyGUI_Gui.cpp  |  68
23:25:23  |  General  |  Info  |  * Initialise: ResourceManager  |  .\src\MyGUI_ResourceManager.cpp  |  41
23:25:23  |  General  |  Info  |  ResourceManager successfully initialized  |  .\src\MyGUI_ResourceManager.cpp  |  53
23:25:23  |  General  |  Info  |  * Initialise: LayerManager  |  .\src\MyGUI_LayerManager.cpp  |  41
23:25:23  |  General  |  Info  |  LayerManager successfully initialized  |  .\src\MyGUI_LayerManager.cpp  |  73
23:25:23  |  General  |  Info  |  * Initialise: WidgetManager  |  .\src\MyGUI_WidgetManager.cpp  |  62
23:25:23  |  General  |  Info  |  * Register widget factory 'Widget'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'Button'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'Window'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'List'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'HScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'VScroll'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'Edit'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'ComboBox'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'StaticText'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'Tab'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'TabItem'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'TabItem'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'Sheet'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'Progress'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'ItemBox'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'MultiList'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'StaticImage'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'Message'  |  .\src\MyGUI_WidgetManager.cpp  |  118
23:25:23  |  General  |  Info  |  * Register widget factory 'RenderBox'  |  .\src\MyGUI_WidgetManager.cpp  |  118
